Assembly	transcripts
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	49902
Total length (>= 1000 bp)	49687
Total length (>= 5000 bp)	48256
Total length (>= 10000 bp)	42634
Total length (>= 25000 bp)	29811
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	29811
Total length	49687
Reference length	29903
GC (%)	38.25
Reference GC (%)	37.97
N50	29811
NG50	29811
N75	12823
NG75	29811
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.709
Duplication ratio	1.666
# N's per 100 kbp	0.00
# mismatches per 100 kbp	160.99
# indels per 100 kbp	50.31
# genomic features	48 + 1 part
Largest alignment	29811
Total aligned length	49508
NA50	29811
NGA50	29811
NA75	12751
NGA75	29811
LA50	1
LGA50	1
LA75	2
LGA75	1
