Assembly	SRR11494564.contigs
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29115
Total length (>= 1000 bp)	27163
Total length (>= 5000 bp)	22628
Total length (>= 10000 bp)	15869
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	15869
Total length	28643
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	15869
NG50	15869
N75	6759
NG75	6759
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.546
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	3.50
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	15869
Total aligned length	28571
NA50	15869
NGA50	15869
NA75	6722
NGA75	6722
LA50	1
LGA50	1
LA75	2
LGA75	2
