Assembly	contigs
# contigs (>= 0 bp)	82
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28443
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	959
Total length	9740
Reference length	29903
GC (%)	36.80
Reference GC (%)	37.97
N50	584
N75	539
L50	7
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	32.381
Duplication ratio	1.006
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.98
# indels per 100 kbp	20.65
# genomic features	0 + 21 part
Largest alignment	959
Total aligned length	9740
NA50	584
NGA50	-
NA75	539
LA50	7
LA75	11
