Assembly	contigs
# contigs (>= 0 bp)	23
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30648
Total length (>= 1000 bp)	27105
Total length (>= 5000 bp)	16561
Total length (>= 10000 bp)	11044
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	11044
Total length	28061
Reference length	29903
GC (%)	37.58
Reference GC (%)	37.97
N50	5517
NG50	5517
N75	3677
NG75	3677
L50	2
LG50	2
L75	4
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	93.415
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	32.22
# indels per 100 kbp	0.00
# genomic features	28 + 13 part
Largest alignment	11044
Total aligned length	28061
NA50	5517
NGA50	5517
NA75	3677
NGA75	3677
LA50	2
LGA50	2
LA75	4
LGA75	4
