Assembly	transcripts
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29729
Total length (>= 1000 bp)	29353
Total length (>= 5000 bp)	29353
Total length (>= 10000 bp)	14724
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	14724
Total length	29353
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	14724
NG50	7665
N75	7665
NG75	6964
L50	1
LG50	2
L75	2
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.810
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	34.19
# indels per 100 kbp	3.42
# genomic features	36 + 13 part
Largest alignment	14714
Total aligned length	29312
NA50	14714
NGA50	7651
NA75	7651
NGA75	6947
LA50	1
LGA50	2
LA75	2
LGA75	3
