Assembly	ERR4305243
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32546
Total length (>= 1000 bp)	32546
Total length (>= 5000 bp)	23461
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	9309
Total length	32546
Reference length	29903
GC (%)	37.87
Reference GC (%)	37.97
N50	7256
NG50	7256
N75	3232
NG75	6896
L50	2
LG50	2
L75	4
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.696
Duplication ratio	1.114
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.38
# indels per 100 kbp	0.00
# genomic features	32 + 13 part
Largest alignment	9309
Total aligned length	32448
NA50	7256
NGA50	7256
NA75	3210
NGA75	6873
LA50	2
LGA50	2
LA75	4
LGA75	3
