Assembly	contigs
# contigs (>= 0 bp)	9493
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	893931
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	19
Largest contig	829
Total length	11794
Reference length	29903
GC (%)	45.62
Reference GC (%)	37.97
N50	609
N75	556
L50	9
L75	14
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	17 + 0 part
Unaligned length	10629
Genome fraction (%)	3.893
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	0.00
# indels per 100 kbp	85.91
# genomic features	0 + 5 part
Largest alignment	609
Total aligned length	1165
NGA50	-
