Assembly	SRR11826966.contigs
# contigs (>= 0 bp)	21
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	44181
Total length (>= 1000 bp)	36680
Total length (>= 5000 bp)	29880
Total length (>= 10000 bp)	29880
Total length (>= 25000 bp)	29880
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	29880
Total length	41035
Reference length	29903
GC (%)	39.48
Reference GC (%)	37.97
N50	29880
NG50	29880
N75	1790
NG75	29880
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	11 + 0 part
Unaligned length	11155
Genome fraction (%)	99.749
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.47
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29828
Total aligned length	29828
NA50	29828
NGA50	29828
NGA75	29828
LA50	1
LGA50	1
LGA75	1
