Assembly	transcripts
# contigs (>= 0 bp)	27
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	41077
Total length (>= 1000 bp)	33604
Total length (>= 5000 bp)	11696
Total length (>= 10000 bp)	11696
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	11696
Total length	34359
Reference length	29903
GC (%)	38.31
Reference GC (%)	37.97
N50	3803
NG50	4939
N75	2226
NG75	2249
L50	3
LG50	2
L75	6
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.870
Duplication ratio	1.174
# N's per 100 kbp	0.00
# mismatches per 100 kbp	218.68
# indels per 100 kbp	61.50
# genomic features	40 + 9 part
Largest alignment	11614
Total aligned length	33944
NA50	3725
NGA50	4929
NA75	2164
NGA75	2236
LA50	3
LGA50	2
LA75	6
LGA75	4
