Assembly	ERR4085145_scaffolds
# contigs (>= 0 bp)	71
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	35469
Total length (>= 1000 bp)	7435
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	26
Largest contig	1585
Total length	22152
Reference length	29903
GC (%)	38.06
Reference GC (%)	37.97
N50	976
NG50	718
N75	703
L50	10
LG50	15
L75	18
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	70.739
Duplication ratio	1.047
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.82
# indels per 100 kbp	0.00
# genomic features	12 + 29 part
Largest alignment	1585
Total aligned length	22152
NA50	976
NGA50	718
NA75	703
LA50	10
LGA50	15
LA75	18
