Assembly	contigs
# contigs (>= 0 bp)	65
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	20807
Total length (>= 1000 bp)	1205
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	1205
Total length	5379
Reference length	29903
GC (%)	39.52
Reference GC (%)	37.97
N50	569
N75	542
L50	4
L75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	18.008
Duplication ratio	0.999
# N's per 100 kbp	0.00
# mismatches per 100 kbp	55.71
# indels per 100 kbp	37.14
# genomic features	0 + 21 part
Largest alignment	1205
Total aligned length	5379
NA50	569
NGA50	-
NA75	542
LA50	4
LA75	6
