Assembly	SRR11513116.contigs
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30491
Total length (>= 1000 bp)	29840
Total length (>= 5000 bp)	29840
Total length (>= 10000 bp)	29840
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19421
Total length	30491
Reference length	29903
GC (%)	38.24
Reference GC (%)	37.97
N50	19421
NG50	19421
N75	10419
NG75	10419
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	651
Genome fraction (%)	99.368
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.19
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	19295
Total aligned length	29714
NA50	19295
NGA50	19295
NA75	10419
NGA75	10419
LA50	1
LGA50	1
LA75	2
LGA75	2
