Assembly	contigs
# contigs (>= 0 bp)	80
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28206
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	964
Total length	9439
Reference length	29903
GC (%)	36.90
Reference GC (%)	37.97
N50	801
N75	568
L50	6
L75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	31.565
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	21.19
# indels per 100 kbp	0.00
# genomic features	0 + 21 part
Largest alignment	964
Total aligned length	9439
NA50	801
NGA50	-
NA75	568
LA50	6
LA75	9
