Assembly	ERR4085119_scaffolds
# contigs (>= 0 bp)	72
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34307
Total length (>= 1000 bp)	1559
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	1559
Total length	15515
Reference length	29903
GC (%)	37.53
Reference GC (%)	37.97
N50	723
NG50	625
N75	670
L50	9
LG50	19
L75	14
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	50.657
Duplication ratio	1.024
# N's per 100 kbp	0.00
# mismatches per 100 kbp	19.80
# indels per 100 kbp	0.00
# genomic features	16 + 25 part
Largest alignment	1559
Total aligned length	15515
NA50	723
NGA50	625
NA75	670
LA50	9
LGA50	19
LA75	14
