Assembly	transcripts
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	3
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	43443
Total length (>= 1000 bp)	42473
Total length (>= 5000 bp)	42473
Total length (>= 10000 bp)	35935
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	12817
Total length	43126
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	12789
NG50	12789
N75	10329
NG75	12789
L50	2
LG50	2
L75	3
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	1 + 0 part
Unaligned length	653
Genome fraction (%)	98.639
Duplication ratio	1.440
# N's per 100 kbp	0.00
# mismatches per 100 kbp	30.51
# indels per 100 kbp	6.78
# genomic features	36 + 13 part
Largest alignment	12748
Total aligned length	42210
NA50	12720
NGA50	12720
NA75	10204
NGA75	12720
LA50	2
LGA50	2
LA75	3
LGA75	2
