Assembly	ERR4210055
# contigs (>= 0 bp)	23
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30357
Total length (>= 1000 bp)	23605
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	18
Largest contig	4005
Total length	28754
Reference length	29903
GC (%)	38.68
Reference GC (%)	37.97
N50	2217
NG50	2217
N75	1293
NG75	1293
L50	5
LG50	5
L75	10
LG75	10
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.623
Duplication ratio	1.049
# N's per 100 kbp	0.00
# mismatches per 100 kbp	18.25
# indels per 100 kbp	3.65
# genomic features	16 + 29 part
Largest alignment	3988
Total aligned length	28716
NA50	2217
NGA50	2217
NA75	1293
NGA75	1293
LA50	5
LGA50	5
LA75	10
LGA75	10
