Assembly	ERR4305284
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	8768
Total length (>= 1000 bp)	8768
Total length (>= 5000 bp)	5146
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	5146
Total length	8768
Reference length	29903
GC (%)	38.91
Reference GC (%)	37.97
N50	5146
N75	3622
L50	1
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	29.271
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	34.27
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	5146
Total aligned length	8753
NA50	5146
NGA50	-
NA75	3607
LA50	1
LA75	2
