Assembly	transcripts
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	4
# contigs (>= 10000 bp)	4
# contigs (>= 25000 bp)	3
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	138033
Total length (>= 1000 bp)	137486
Total length (>= 5000 bp)	137486
Total length (>= 10000 bp)	137486
Total length (>= 25000 bp)	113655
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	47840
Total length	138033
Reference length	29903
GC (%)	37.93
Reference GC (%)	37.97
N50	36379
NG50	47840
N75	29436
NG75	47840
L50	2
LG50	1
L75	3
LG75	1
# misassemblies	3
# misassembled contigs	3
Misassembled contigs length	108050
# local misassemblies	8
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.880
Duplication ratio	4.622
# N's per 100 kbp	0.00
# mismatches per 100 kbp	87.05
# indels per 100 kbp	50.22
# genomic features	44 + 5 part
Largest alignment	29363
Total aligned length	137827
NA50	23655
NGA50	29363
NA75	17891
NGA75	29363
LA50	3
LGA50	1
LA75	5
LGA75	1
