Assembly	ERR4305284_scaffolds
# contigs (>= 0 bp)	32
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30764
Total length (>= 1000 bp)	19293
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	22
Largest contig	3687
Total length	27928
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	1311
NG50	1284
N75	961
NG75	945
L50	7
LG50	8
L75	13
LG75	15
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	90.934
Duplication ratio	1.027
# N's per 100 kbp	0.00
# mismatches per 100 kbp	29.42
# indels per 100 kbp	0.00
# genomic features	20 + 29 part
Largest alignment	3687
Total aligned length	27928
NA50	1311
NGA50	1284
NA75	961
NGA75	945
LA50	7
LGA50	8
LA75	13
LGA75	15
