Assembly	ERR4304934_scaffolds
# contigs (>= 0 bp)	30
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32454
Total length (>= 1000 bp)	23434
Total length (>= 5000 bp)	10565
Total length (>= 10000 bp)	10565
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	10565
Total length	29167
Reference length	29903
GC (%)	38.27
Reference GC (%)	37.97
N50	2800
NG50	2800
N75	1305
NG75	1126
L50	3
LG50	3
L75	6
LG75	7
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	851
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	2
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.435
Duplication ratio	1.033
# N's per 100 kbp	514.28
# mismatches per 100 kbp	21.25
# indels per 100 kbp	3.54
# genomic features	20 + 25 part
Largest alignment	10515
Total aligned length	29067
NA50	2800
NGA50	2800
NA75	1305
NGA75	1126
LA50	3
LGA50	3
LA75	6
LGA75	7
