Assembly	contigs
# contigs (>= 0 bp)	196
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	45606
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	775
Total length	4450
Reference length	29903
GC (%)	37.46
Reference GC (%)	37.97
N50	608
N75	598
L50	4
L75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	14.881
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	22.47
# indels per 100 kbp	22.47
# genomic features	4 + 17 part
Largest alignment	775
Total aligned length	4449
NA50	607
NGA50	-
NA75	598
LA50	4
LA75	5
