Assembly	contigs
# contigs (>= 0 bp)	816
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	118697
Total length (>= 1000 bp)	1097
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	1097
Total length	3507
Reference length	29903
GC (%)	37.61
Reference GC (%)	37.97
N50	781
N75	539
L50	2
L75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	11.728
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	28.51
# indels per 100 kbp	0.00
# genomic features	0 + 13 part
Largest alignment	1097
Total aligned length	3507
NA50	781
NGA50	-
NA75	539
LA50	2
LA75	4
