Assembly	contigs
# contigs (>= 0 bp)	632
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	187019
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	798
Total length	6043
Reference length	29903
GC (%)	39.70
Reference GC (%)	37.97
N50	598
N75	545
L50	5
L75	8
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	526
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	2 + 0 part
Unaligned length	1291
Genome fraction (%)	15.891
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	21.04
# indels per 100 kbp	0.00
# genomic features	0 + 13 part
Largest alignment	798
Total aligned length	4752
NA50	583
NGA50	-
NA75	437
LA50	5
LA75	8
