Assembly	contigs
# contigs (>= 0 bp)	74
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	26021
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	16
Largest contig	843
Total length	9506
Reference length	29903
GC (%)	39.16
Reference GC (%)	37.97
N50	552
N75	531
L50	8
L75	12
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	517
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	31.559
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	95.37
# indels per 100 kbp	42.39
# genomic features	8 + 21 part
Largest alignment	843
Total aligned length	9492
NA50	552
NGA50	-
NA75	531
LA50	8
LA75	12
