Assembly	contigs
# contigs (>= 0 bp)	201
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32213
Total length (>= 1000 bp)	1127
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	1127
Total length	6809
Reference length	29903
GC (%)	37.54
Reference GC (%)	37.97
N50	657
N75	597
L50	5
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	22.770
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	29.37
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	1127
Total aligned length	6809
NA50	657
NGA50	-
NA75	597
LA50	5
LA75	7
