Assembly	contigs
# contigs (>= 0 bp)	354
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	61152
Total length (>= 1000 bp)	2188
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	1126
Total length	9910
Reference length	29903
GC (%)	37.87
Reference GC (%)	37.97
N50	757
N75	663
L50	6
L75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	33.134
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.19
# indels per 100 kbp	0.00
# genomic features	0 + 13 part
Largest alignment	1126
Total aligned length	9910
NA50	757
NGA50	-
NA75	663
LA50	6
LA75	9
