Assembly	contigs
# contigs (>= 0 bp)	61
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	20719
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	839
Total length	8105
Reference length	29903
GC (%)	39.22
Reference GC (%)	37.97
N50	607
N75	540
L50	6
L75	10
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	27.088
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	24.69
# indels per 100 kbp	0.00
# genomic features	0 + 17 part
Largest alignment	839
Total aligned length	8105
NA50	607
NGA50	-
NA75	540
LA50	6
LA75	10
