Assembly	contigs
# contigs (>= 0 bp)	431
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	61386
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	804
Total length	1383
Reference length	29903
GC (%)	41.50
Reference GC (%)	37.97
N50	804
N75	579
L50	1
L75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	4.625
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	72.31
# indels per 100 kbp	0.00
# genomic features	0 + 13 part
Largest alignment	804
Total aligned length	1383
NA50	804
NGA50	-
NA75	579
LA50	1
LA75	2
